Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
I1652,11212,31420014.3,5176,3012700,0,1.4,0.22,,792,T03637,
01123-0045,11215.2,-453714.5,10184,3712700,-6  D,0.7,0.45,,793,T03726,
I1654,11224,29555114.3,4897,2010622,1,1.6,1.2,,798,T03578,
N 448,11248,-1530013.2,1917,2212700,-2,1.9,1,,801,T00876,
N 450,11257.7,-1072712.3,7 1758,102 0,6X8s,3.5,2.8,12.5,806,T10173,KDG27A
N 455,11324,4550013.9,5269,2212700,-1  P,2.7,1.6,,815,T00843,Arp164
I  89,11330,4020013.8,5437,2212700,-2X R,2,1.6,,818,T00893,MK565
N 452,11330,30461514,4966,2010622,2,2.7,1.1,,820,T03649,"KDG28B,5127(27)"
01155+1107,11530.3,11070614.3,5228,3112700,6B R,2.5,1.7,,833,T17714,
01161+1445,11606,14450014.2,6903,3212700,6,0.65,0.45,,838,T02203,
N 467,11636,3020013.3,5467,2212700,-2,2.5,2.5,12.93,848,T00894,
I1666,11706,32122714.4,4880,2010622,5,1.1,1.1,,857,T19826,
N 470,11709.6,3085412.7,5 2562,400 0,3A T,3.3,1.9,12.6,858,,
N 473,11714.4,16165813.6,0 2137,522812,0X R,2.6,1.6,,859,,
N 471,11718,14310014,4138,2512700,-2,1.2,0.7,,861,T00895,
N 474,11730,3090012.5,1 2333,2102700,-2A P,10,9,12,864,T02612,Arp227
I1672,11754,29261114,7023,2010622,1,1.8,1.3,,872,T03650,KDG30B
01186+0106,11833.8,1064114.3,4947,3012731,3A,2.3,0.7,,890,T01992,
01187-0048,11843.4,-481714.5,5240,2312700,1B,2.1,2.1,,892,T02076,"A194,M+0-4-94"
N 485,11848,6450014.2,2251,3512700,6,2,0.7,,895,T02091,
N 488,11912,5000011.4,1 2268,1001609,3A1R,6,4.3,,907,T17000,
N 489,11916.4,8564013.4,2518,412812,5,1.8,0.4,,908,T00509,
N 493,11934.7,412613,2341,2012201,6B s,4.3,1.6,12.95,914,T17001,
N 497,11950.5,-1080414.1,8172,3412700,4B T,2.5,1.1,,915,T17002,Arp8
N 502,12018.1,8471813.8,2489,1612700,-2,1.5,1.5,,922,S00510,
01207+3032,12042,30313114.5,10494,2010622,5,2.2,0.7,,934,,"VV341,Arp70"
N 514,12124.8,12392212.8,2471,412812,5X2T,4.3,3.1,12.5,947,T17003,VV207
